year,permno,ticker,comnam,age,div12m_me,ffo_at_reit,ffo_yld_reit,beta,realizedvol,lnmcap,market_equity,assets,btm,roe,ocf_at,debt_at,bookleverage,assetgrowth,dolvol,sale_me,ebitda_me,cash_at,net_income,book_equity,ret12
2013,12093,COR,CORESITE REALTY CORP,84.0,0.029657518083333334,0.022729865944462,2.7657275398524213e-05,0.9778160749161682,0.018179753247684668,13.45389626589943,697.6137108333334,867.7955000000001,0.32162004154052304,0.004938728595454601,0.0840078675,0.13193074375,3.6555061217901943,1.4376507051928127e-05,-128890026.66666667,0.302321245,0.00823152545,0.009901972375,7.15425,223.6505,0.2052156332614561
2014,12093,COR,CORESITE REALTY CORP,96.0,0.0387186195,0.0226758085493204,3.076267207611113e-05,0.9959242088228942,0.01252942943433591,13.48904027168419,724.3447974999999,1018.8305,0.30116502093151637,0.05997464804696384,0.099699095,0.2285105475,4.305206735429775,0.00013724210934714187,-84527035.33333333,0.3324715541666667,0.011709081333333335,0.006620694135000001,18.869,216.24225,0.26646838111328575
2015,12093,COR,CORESITE REALTY CORP,108.0,0.0290577175,0.028042238691279423,2.3814264019550765e-05,0.9330291983549331,0.014744470294050557,14.056519873534112,1296.3871366666667,1080.5487500000002,0.17403882782277214,0.10007998162945042,0.093896635,0.3028788025,4.970128699351069,0.0001181848733025861,-261816148.66666666,0.2212811525,0.007921728508333333,0.00915145315,23.714,220.56775000000002,0.504738434231824
2016,12093,COR,CORESITE REALTY CORP,120.0,0.024768061499999997,0.033647821137619674,1.609465706601514e-05,0.6873191699095825,0.015975850315976717,14.692386473311911,2419.1336666666666,1198.03575,0.12290187117326697,0.11292724903501745,0.1180249225,0.35468890249999996,4.410697810695366,7.141080302800733e-05,-758542245.3333334,0.14226165583333333,0.008068231625,0.00468721665,38.50725,295.81350000000003,0.44300118732560323
2017,12093,COR,CORESITE REALTY CORP,132.0,0.028021282166666665,0.035564661142089324,1.3957232158034057e-05,0.30662536922626404,0.012768057467857634,15.079370608784911,3558.6015,1437.348,0.09048905866631497,0.1548033274477326,0.126652225,0.48093439,4.24826930108842,0.00017864545391844822,-926096592.0,0.1164735905,0.006949110075,0.006089587675,60.73825,317.61899999999997,0.4847752469186062
2018,12093,COR,CORESITE REALTY CORP,144.0,0.036859935833333336,0.0372207443472821,1.594721300461946e-05,0.2602588022142084,0.015998935723120843,15.097494852597483,3612.1423,1610.03175,0.07667706975119877,0.23165285331752786,0.1325137725,0.6228582500000001,5.066889871662833,0.00013619442006062446,-774522234.6666666,0.13627938416666666,0.006804945483333334,0.00250640295,75.251,275.676,-0.20228946552596216
2019,12093,COR,CORESITE REALTY CORP,156.0,0.038860619416666665,0.032912548322201245,1.4788098608778115e-05,0.48329534485867726,0.01289143812017541,15.228142584185312,4114.922983333333,1901.54825,0.056849722545807814,0.29838579335448845,0.133226535,0.7258971074999999,6.730445991601911,0.00014553351140682343,-661684314.6666666,0.13342585716666666,0.004756877741666666,0.0017310355749999998,77.9575,231.94825,0.3397485442091561
2020,12093,COR,CORESITE REALTY CORP,168.0,0.03837132858333333,0.029964024741965425,1.2911575203915386e-05,0.17202297041453632,0.019318752974451393,15.3901221327109,4851.780925,2115.2225,0.030345976975495733,0.413569444238781,0.12214249650000002,0.8034828825,10.933180404650905,0.0001651021034557,-968252842.6666666,0.11994784633333333,0.0022739475000000003,0.0016323039499999998,75.32675,143.31125,0.16352952149066446
2021,12093,COR,CORESITE REALTY CORP,179.0,0.035685645090909095,0.030064319609271747,1.1223732632237447e-05,0.14770530069142448,0.014696330920439765,15.582354562203568,5891.583118181818,2171.6216363636363,0.010213571155790665,0.898341704003657,0.12593388636363637,0.8771290072727272,24.70812142852572,8.01917081061808e-05,-1220707781.8181818,0.10492349418181818,0.00073216868,0.0017752638,81.8420909090909,57.19336363636364,0.40504600380526634
2010,12323,CCG,CAMPUS CREST COMMUNITIES INC,36.0,,,,,0.01056015267426995,12.872898804882583,390.80388999999997,328.373,,,0.013119508,1.056917,,,-160838858.66666666,0.26619236,,0.020781245,-8.068,,0.13177271999999984
2011,12323,CCG,CAMPUS CREST COMMUNITIES INC,48.0,0.0540793828,-0.0002945480264007093,6.58209086584841e-07,,0.024283434214407956,12.805682295147072,366.1349583333333,379.71075,0.6752853093029609,-0.06071747292923561,-0.0050219104,0.499577285,1.526807562130129,,-67016428.333333336,0.23266781666666667,-0.0017887695333333334,0.021961317500000004,-12.5695,237.64100000000002,-0.24111804644247692
2012,12323,CCG,CAMPUS CREST COMMUNITIES INC,60.0,0.05493193016666667,0.011326858866346524,1.4525144788499843e-05,0.692299393935829,0.012308901138403367,12.868709244516182,390.70587500000005,544.55975,0.643569891455668,-0.01571837854562819,0.038770017,0.4476539,2.0244943665593236,0.0004559079020732,-52467179.666666664,0.25137269,0.008869868216666667,0.027506139750000002,0.7852499999999999,250.27700000000002,0.28963255207427796
2013,12323,CCG,CAMPUS CREST COMMUNITIES INC,72.0,0.048013214500000005,0.009788019277414775,1.0760013162312737e-05,0.6507056573199573,0.014402599646709943,13.423525115937364,687.6514966666667,880.4877499999999,0.7133258675936851,0.02526534386962945,0.03364407725,0.37983247,2.184709424683758,0.00035810774303083335,-147185445.33333334,0.194955205,0.016295254666666665,0.07186152550000001,13.231499999999999,470.723,-0.18614376236686025
2014,12323,CCG,CAMPUS CREST COMMUNITIES INC,84.0,0.08250101208333334,0.01011340458555645,2.316918066488031e-05,0.6344819242048448,0.015941969629743858,13.14919218567078,516.6945833333333,1222.74175,1.2320888427523922,0.014554585830691824,0.017994991249999998,0.3914280525,1.8515536593020545,0.0005275455123660667,-114748586.66666667,0.200404565,0.016112912833333333,0.031799590999999995,2.2325,624.59825,-0.16236572417477535
2015,12323,CCG,CAMPUS CREST COMMUNITIES INC,96.0,0.04522252508333333,-0.015410761355632525,-5.1028571322967885e-05,0.777965396698853,0.02090028888634469,12.912981029050044,408.7929025,1388.1184999999998,1.1132813284543301,-0.19959321538301278,0.0368432405,0.5518570975,2.164506949709271,0.0002881351113604013,-78496947.66666667,0.27844199416666665,-0.07794937608333334,0.0215300475,-143.4335,451.66825,-0.06981518551408994
2016,12323,CCG,CAMPUS CREST COMMUNITIES INC,98.0,0.0,0.0044795734218684,1.5817981618366335e-05,0.6832470667852802,0.00381912652609325,13.017845244764281,450.38493500000004,1583.58,1.0326428964419314,-0.3438691326509049,0.03153993,0.61375934,2.486857898785322,-4.9616168038835e-06,-252548168.0,0.33626087000000005,-0.0307903275,0.017428864,-40.805,465.075,0.027877759999999974
2011,12513,AAT,AMERICAN ASSETS TRUST INC,48.0,0.033769239,0.0060758604329729255,1.2484313402798895e-05,,0.017531714799596154,13.603923120201086,811.144095,1399.07925,0.4780291644402424,,0.0118131687,0.66919411,,,-136145240.66666666,0.19988740083333334,0.018023727983333335,0.06042086875,1.9542499999999998,381.064,0.0018402420026519817
2012,12513,AAT,AMERICAN ASSETS TRUST INC,60.0,0.03362432475,0.0095829930194387,1.6853264935760206e-05,0.8927069848305743,0.013376144858814101,13.792111079603016,981.1038666666667,1717.49025,0.6417619827177046,0.0046595136662561,0.0390910005,0.55559215,2.730345621862176,,-79230448.66666667,0.21573990499999998,0.02574560325,0.084820315,1.2852500000000002,623.593,0.40773292536688266
2013,12513,AAT,AMERICAN ASSETS TRUST INC,72.0,0.026568174666666666,0.011280473801770175,1.6242456981314485e-05,0.8567821791853513,0.012654486563230342,14.042910153949656,1256.6529083333332,1837.43825,0.5058267421935946,0.03435206972981384,0.04278165475,0.5766184424999999,2.8076902943094115,6.92138975393747e-05,-129969236.0,0.19050193333333332,0.02195358825,0.029999589000000004,10.0755,634.73425,0.1561670645243456
2014,12513,AAT,AMERICAN ASSETS TRUST INC,84.0,0.024006459083333334,0.012246700454843074,1.533387305987817e-05,0.8016993504312785,0.009594851975508783,14.20646679581998,1483.9347833333334,1861.1675000000002,0.45577164119983027,0.037322898493123945,0.051072678,0.5635161375000001,2.8405741643110893,3.0389072987654613e-05,-117912879.33333333,0.17342549,0.022006604166666666,0.042042379250000005,16.2,673.009,0.29899160603893593
2015,12513,AAT,AMERICAN ASSETS TRUST INC,96.0,0.022017655416666667,0.0130714326607987,1.4043499408629088e-05,0.6444247466611923,0.012065083838321826,14.405557441653912,1805.548425,1955.2210000000002,0.414999488971941,0.027679444479032842,0.05475197625,0.5443184925,2.716904361864277,3.5907324871148416e-05,-162701888.66666666,0.14527026666666668,0.02019177,0.036961998,24.484750000000002,748.15825,-0.013662539831640452
2016,12513,AAT,AMERICAN ASSETS TRUST INC,108.0,0.02371292033333333,0.014114182734906276,1.5034024172545698e-05,0.5583784671872024,0.011992492358734534,14.437648148386728,1866.684775,1981.05825,0.42761352479352555,0.040757610056547426,0.05730115575,0.53486689,2.5430642925456843,3.5869590809636645e-05,-166158130.66666666,0.14946060916666667,0.02263056825,0.028200013,37.931000000000004,794.82325,0.15064613199292975
2017,12513,AAT,AMERICAN ASSETS TRUST INC,120.0,0.024957944916666665,0.014537489761146776,1.539489660431026e-05,0.4257151401204642,0.010170308570750549,14.458689833710885,1903.8796249999998,2065.6695,0.43114779465438136,0.043770925618649065,0.06350959099999999,0.54547148,2.4620018279668963,1.0376260606224775e-05,-206436136.0,0.15621361583333335,0.022228995166666668,0.04426770124999999,31.97075,819.21925,-0.0886592713254083
2018,12513,AAT,AMERICAN ASSETS TRUST INC,132.0,0.02899006075,0.014320557780070825,1.8404692054346642e-05,0.4022598885561434,0.01268622939147771,14.37001732658458,1746.495275,2233.772,0.4767786038004043,0.03738162780100895,0.0646798725,0.582424415,2.6032676528754792,8.19214922898437e-05,-197993312.0,0.18386315499999997,0.020626863916666665,0.03594388825,25.205250000000003,826.89275,0.08173036133290079
2019,12513,AAT,AMERICAN ASSETS TRUST INC,144.0,0.022318571833333332,0.015632933770906025,1.3954505844236046e-05,0.35367314660306776,0.010172136082549384,14.733040641718654,2527.128833333333,2332.708,0.3700906922738764,0.029179464036704402,0.057365721,0.5586342599999999,2.726017945570577,4.133029138822387e-05,-333714896.0,0.13423083283333334,0.01531065675,0.026302039250000003,27.3755,933.197,0.17101172930711317
